# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0012
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
5.000000000000000000e-01 5.450989678502082825e-02 5.306511651724576950e-03 4.414276045281440020e-04 -4.791150391101837158e-01 1.000000000000000000e+00 1.000000000000000000e+00
7.500000000000000000e-01 8.182313293218612671e-02 5.328162107616662979e-03 6.545504438690841198e-04 -5.161960721015930176e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.090178042650222778e-01 5.365821532905101776e-03 8.913481724448502064e-04 -5.569124221801757812e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.250000000000000000e+00 1.361936181783676147e-01 5.406484473496675491e-03 1.138497493229806423e-03 -6.016194820404052734e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.500000000000000000e+00 1.632832586765289307e-01 5.466465838253498077e-03 1.403896021656692028e-03 -6.505386829376220703e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.750000000000000000e+00 1.903724223375320435e-01 5.534015595912933350e-03 1.676245825365185738e-03 -7.043992280960083008e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.250000000000000000e+00 2.442766875028610229e-01 5.720249842852354050e-03 2.283179434016346931e-03 -8.269290328025817871e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000000e+00 2.710954844951629639e-01 5.843977443873882294e-03 2.611692063510417938e-03 -8.957350850105285645e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.750000000000000000e+00 2.977259457111358643e-01 5.971339065581560135e-03 2.995273098349571228e-03 -9.700410366058349609e-01 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 3.242874443531036377e-01 6.127031054347753525e-03 3.379463450983166695e-03 -1.049490213394165039e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.250000000000000000e+00 3.505823910236358643e-01 6.295053754001855850e-03 3.831159556284546852e-03 -1.133909225463867188e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.500000000000000000e+00 3.767585754394531250e-01 6.481723859906196594e-03 4.300876986235380173e-03 -1.223484158515930176e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.750000000000000000e+00 4.027617871761322021e-01 6.690085399895906448e-03 4.796694032847881317e-03 -1.317986130714416504e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 4.288187921047210693e-01 6.906667724251747131e-03 5.277781747281551361e-03 -1.417607665061950684e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.250000000000000000e+00 4.552018940448760986e-01 7.143959403038024902e-03 5.670138169080018997e-03 -1.524331569671630859e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.500000000000000000e+00 4.827344119548797607e-01 7.396255154162645340e-03 5.785851273685693741e-03 -1.638418436050415039e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.750000000000000000e+00 5.117094516754150391e-01 7.657321635633707047e-03 5.553572438657283783e-03 -1.760184526443481445e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 5.412366986274719238e-01 7.930368185043334961e-03 5.172525066882371902e-03 -1.891170620918273926e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.250000000000000000e+00 5.739141106605529785e-01 8.219733834266662598e-03 4.056199453771114349e-03 -2.034159421920776367e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.500000000000000000e+00 6.056636571884155273e-01 8.504820987582206726e-03 3.142063040286302567e-03 -2.182556152343750000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.750000000000000000e+00 6.406887173652648926e-01 8.804123848676681519e-03 1.465593697503209114e-03 -2.345070838928222656e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000000e+00 6.751274466514587402e-01 9.092891588807106018e-03 -7.439203182002529502e-05 -2.514432430267333984e+00 1.000000000000000000e+00 1.000000000000000000e+00
