# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,root
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-4.699999999999999289e+00 -1.023427546024322510e-01 1.036627963185310364e-02 -8.933832496404647827e-02 -3.888241052627563477e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.599999999999999645e+00 -9.095738083124160767e-02 1.017830520868301392e-02 -8.941275626420974731e-02 -3.788676023483276367e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.500000000000000000e+00 -7.954820990562438965e-02 9.998051449656486511e-03 -8.948832750320434570e-02 -3.689820051193237305e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.399999999999999467e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-4.299999999999999822e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-4.199999999999999289e+00 -4.510009288787841797e-02 9.634295478463172913e-03 -8.971748501062393188e-02 -3.376380443572998047e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.099999999999999645e+00 -3.353562951087951660e-02 9.590506553649902344e-03 -8.978820592164993286e-02 -3.265031814575195312e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.000000000000000000e+00 -2.233417890965938568e-02 9.063423611223697662e-03 -8.995103091001510620e-02 -3.205436229705810547e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.899999999999999467e+00 -1.084413845092058182e-02 8.884655311703681946e-03 -9.007005393505096436e-02 -3.105461120605468750e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.799999999999999822e+00 6.896296981722116470e-04 8.758530020713806152e-03 -9.017903357744216919e-02 -3.001165151596069336e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.699999999999999289e+00 1.224686671048402786e-02 8.649034425616264343e-03 -9.028419107198715210e-02 -2.897194385528564453e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.599999999999999645e+00 2.382320351898670197e-02 8.544001728296279907e-03 -9.038810431957244873e-02 -2.795056819915771484e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.500000000000000000e+00 3.541720286011695862e-02 8.440583944320678711e-03 -9.049174934625625610e-02 -2.694946289062500000e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.399999999999999467e+00 4.702744632959365845e-02 8.339874446392059326e-03 -9.059522300958633423e-02 -2.596512794494628906e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.299999999999999822e+00 5.865006893873214722e-02 8.245077915489673615e-03 -9.069813042879104614e-02 -2.499048471450805664e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.199999999999999289e+00 7.027921825647354126e-02 8.161531761288642883e-03 -9.079908579587936401e-02 -2.401670217514038086e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.099999999999999645e+00 8.190923184156417847e-02 8.094749413430690765e-03 -9.089564532041549683e-02 -2.303778171539306641e+00 6.999999880790710449e-01 1.999999955296516418e-02
-3.000000000000000000e+00 9.361490607261657715e-02 7.893108762800693512e-03 -9.104903042316436768e-02 -2.220329523086547852e+00 6.999999880790710449e-01 1.999999955296516418e-02
