# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0012
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-7.799999999999999822e+00 -9.020692110061645508e-01 1.115416269749403000e-02 6.759163923561573029e-03 -3.860273122787475586e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.699999999999999289e+00 -8.936473727226257324e-01 1.105567533522844315e-02 7.284979801625013351e-03 -3.791978597640991211e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.599999999999999645e+00 -8.854877948760986328e-01 1.093096751719713211e-02 7.845253683626651764e-03 -3.725769758224487305e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.500000000000000000e+00 -8.770199418067932129e-01 1.082910038530826569e-02 8.352000266313552856e-03 -3.658701658248901367e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.400000000000000355e+00 -8.635488152503967285e-01 1.072903722524642944e-02 7.804475724697113037e-03 -3.575225591659545898e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.299999999999999822e+00 -8.502892255783081055e-01 1.059037540107965469e-02 7.278455421328544617e-03 -3.493472576141357422e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.199999999999999289e+00 -8.369145989418029785e-01 1.046984363347291946e-02 6.735808216035366058e-03 -3.411619424819946289e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.099999999999999645e+00 -8.233500123023986816e-01 1.037605945020914078e-02 6.173023022711277008e-03 -3.329874515533447266e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.000000000000000000e+00 -8.100250959396362305e-01 1.023389399051666260e-02 5.629890132695436478e-03 -3.249902486801147461e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.900000000000000355e+00 -7.964485883712768555e-01 1.012677699327468872e-02 5.054816603660583496e-03 -3.169523239135742188e+00 1.000000000000000000e+00 1.000000000000000000e+00
